#Position (bp)	insert size
5702.5	228.22321428571428
17106.5	232.70282317979198
28510.5	231.89408099688472
39914.5	219.77833333333334
51318.5	229.5079365079365
62722.5	225.46656050955414
74126.5	232.9820143884892
85530.5	234.6077265973254
96934.5	242.46515397082658
108338.5	226.81410256410257
119742.5	248.9815028901734
131146.5	217.52211434735707
142550.5	222.98669891172915
153954.5	236.2331189710611
165358.5	239.04006968641116
176762.5	229.15217391304347
188166.5	235.47350993377484
199570.5	230.92399403874813
210974.5	231.95366218236174
222378.5	238.7316715542522
233782.5	244.67732115677322
245186.5	239.83739837398375
256590.5	232.53459119496856
267994.5	233.88819875776397
279398.5	232.75986842105263
290802.5	238.2876923076923
302206.5	236.56656346749227
313610.5	221.10759493670886
325014.5	230.59364548494983
336418.5	245.27777777777777
345422.5	213.48
351124.5	226.0608695652174
359226.5	224.7703488372093
370630.5	243.31911764705882
382034.5	233.37446197991392
393438.5	248.6329704510109
404842.5	245.36875
416246.5	240.82344213649853
427650.5	237.87197724039828
439054.5	235.75412087912088
450458.5	241.38067349926794
461862.5	230.22368421052633
473266.5	240.112517580872
484670.5	241.42313546423136
496074.5	211.52826855123675
507478.5	235.57007874015747
518882.5	238.07692307692307
530286.5	234.08610271903322
541690.5	240.80295566502463
553094.5	242.77708978328172
564498.5	242.44142614601017
575902.5	225.72714285714287
587306.5	237.97368421052633
598710.5	230.77400295420975
610114.5	238.17156862745097
621518.5	231.57369942196533
632922.5	222.36089030206676
644326.5	232.63250883392226
655730.5	232.66006600660066
667134.5	247.25
674425.5	177.9625668449198
680127.5	255.58565737051794
689942.5	228.9259776536313
701346.5	222.0570652173913
712750.5	231.38571428571427
724154.5	225.1002906976744
735558.5	238.0633608815427
746962.5	246.51554828150572
758366.5	237.5874635568513
769770.5	228.54714064914992
781174.5	245.62539682539682
792578.5	242.55417956656348
803982.5	238.60719874804383
815386.5	237.57853810264385
826790.5	231.90434782608696
838194.5	226.83055975794252
849598.5	220.77217125382262
861002.5	225.6855439642325
872406.5	226.00838926174498
883810.5	246.12227805695142
895214.5	232.23424878836835
906618.5	241.765601217656
918022.5	227.6291390728477
929426.5	232.86235489220564
940830.5	231.01572327044025
952234.5	240.3
963638.5	240.1306990881459
975042.5	230.66453674121405
984411.0	229.62962962962962
990113.0	247.64
997850.5	243.05748865355523
1009254.5	247.72496263079222
1020658.5	243.6953125
1032062.5	232.92924528301887
1043466.5	238.7766990291262
1054870.5	223.77575757575758
1066274.5	233.63258785942492
1077678.5	238.0855172413793
1089082.5	225.05169628432955
1100486.5	241.61311475409835
1111890.5	236.78084415584416
1123294.5	231.64332247557005
1134698.5	241.5190713101161
1146102.5	239.20091324200914
1157506.5	229.77891654465594
1168910.5	237.1406779661017
1180314.5	241.99539170506912
1188447.0	196.76160990712074
1194149.0	231.20056497175142
1203122.5	251.1202635914333
1214526.5	242.7530864197531
1225930.5	233.41969696969696
1237334.5	236.38662316476345
1248738.5	236.35944700460828
1260142.5	222.67096774193547
1271546.5	238.19193548387096
1282950.5	237.10087719298247
1294354.5	247.78583196046128
1305758.5	240.96440129449837
1317162.5	241.79577464788733
1328566.5	244.36544342507645
1339970.5	246.52351097178683
1350288.5	237.237721021611
1355990.5	220.45
1362778.5	232.86175115207374
1374182.5	236.8080808080808
1385586.5	236.05692307692308
1396990.5	233.2899575671853
1408394.5	237.46600566572238
1419798.5	246.8935185185185
1431202.5	217.9969604863222
1442606.5	241.12020905923345
1454010.5	235.85426356589147
1465414.5	234.77633477633478
1476818.5	239.84310850439883
1488222.5	226.56954612005856
1496458.5	224.08664259927798
1502160.5	229.72423398328692
1511030.5	240.77175463623396
1522434.5	236.52574102964118
1533838.5	235.47391952309985
1545242.5	241.420814479638
1556646.5	234.59447004608296
1568050.5	243.328530259366
1579454.5	225.24606580829757
1590858.5	236.3882175226586
1602262.5	237.47666666666666
1613666.5	231.48024316109422
1625070.5	224.5593220338983
1634971.0	210.38548752834467
1640673.0	230.05882352941177
1647878.5	233.18288590604027
1659282.5	237.3773841961853
1670686.5	230.397913561848
1682090.5	226.9537037037037
1693494.5	234.39701492537313
1704898.5	230.05
1716302.5	233.3704292527822
1727706.5	250.11163522012578
1739110.5	223.57186544342508
1750514.5	233.0243161094225
1761581.0	232.95664335664335
1767283.0	186.54347826086956
1773322.5	233.55915721231767
1784726.5	221.3254086181278
1796130.5	236.58823529411765
1807534.5	239.4212271973466
1818938.5	225.20516717325228
1830342.5	230.93354430379748
1841746.5	243.77851239669423
1853150.5	235.12462462462463
1864554.5	224.6966966966967
1875958.5	240.80607082630692
1886088.5	234.51749539594843
1891790.5	242.57386363636363
1898766.5	238.77777777777777
1910170.5	242.9016393442623
1921574.5	244.66321243523316
1932978.5	238.70225563909776
1944382.5	231.46038863976085
1955786.5	237.60725552050474
1967190.5	239.83835182250397
1978594.5	234.74842767295598
1989998.5	232.08255451713396
