#Coverage (X)	Coverage
1.0	99.86493643835568
2.0	99.72176160941574
3.0	99.41467341407187
4.0	98.94187422011261
5.0	98.09060767860791
6.0	96.72784900590939
7.0	94.63404592643387
8.0	91.6154268411919
9.0	87.49415769531274
10.0	82.28727215011719
11.0	76.07752705436478
12.0	69.08204130344996
13.0	61.578066782475105
14.0	53.86609306122735
15.0	46.17395906133784
16.0	38.803097013387536
17.0	32.01151098440971
18.0	25.922821072458618
19.0	20.603583514046534
20.0	16.104614302663407
21.0	12.371524102740395
22.0	9.372350136663911
23.0	7.016311977754981
24.0	5.195332469885301
25.0	3.85603070531198
26.0	2.8383297278384987
27.0	2.0935400113470166
28.0	1.5446922059051928
29.0	1.163133807849789
30.0	0.894146646451361
31.0	0.7014273199759202
32.0	0.5645442037760944
33.0	0.4669897727880681
34.0	0.4011131289411054
35.0	0.35330049658495
36.0	0.32024160176924
37.0	0.2959735669144692
38.0	0.28262285939273113
39.0	0.27008327860056625
40.0	0.26045936956602134
41.0	0.253027694935696
42.0	0.24688943860385848
43.0	0.24241728041923238
44.0	0.23726552956929936
45.0	0.23351680873807368
46.0	0.23053536994832768
47.0	0.22792661100730527
48.0	0.22549323081861417
49.0	0.22198565577186002
50.0	0.21920151807849209
51.0	0.21626392397682537
