#Position (bp)	mapping quality
5702.5	59.06876026511666
17106.5	59.93724203181361
28510.5	59.982209839466414
39914.5	59.99391645171016
51318.5	59.99061851338555
62722.5	59.988534175513365
74126.5	59.988086582023605
85530.5	59.991013731825525
96934.5	59.98993418751788
108338.5	59.99451219123099
119742.5	59.9923212505257
131146.5	59.98821776224629
142550.5	59.99049064433089
153954.5	59.991846236119414
165358.5	59.82138567372789
176762.5	59.842977450064396
188166.5	59.96666316259757
199570.5	59.99357005813451
210974.5	59.99082775909798
222378.5	59.98268650575974
233782.5	59.98864946562879
245186.5	59.9910325795227
256590.5	59.993189467190334
267994.5	59.98605497292316
279398.5	59.990822386179595
290802.5	59.99260637369122
302206.5	59.99357739242132
313610.5	59.99021690483545
325014.5	59.99236386696915
336418.5	59.98789681782931
345422.5	59.48630798785963
351124.5	58.69401576925669
359226.5	59.98988577755595
370630.5	59.98955006268828
382034.5	59.82539536910674
393438.5	59.996596198781994
404842.5	59.98950028929017
416246.5	59.9918720961375
427650.5	59.98898617306967
439054.5	59.968101176319344
450458.5	59.980935482225156
461862.5	59.995808421579646
473266.5	59.981408856644684
484670.5	59.98995876760295
496074.5	59.85502196193265
507478.5	59.99356055718385
518882.5	59.99096807402708
530286.5	59.996430774390205
541690.5	59.94040698614281
553094.5	59.99739307337158
564498.5	59.99142420412512
575902.5	59.94394938924003
587306.5	59.98989692334539
598710.5	59.99296748038008
610114.5	59.98847370604709
621518.5	59.99011576738203
632922.5	59.99731111195668
644326.5	59.99539252413114
655730.5	59.99374021909233
667134.5	59.995166032358725
674425.5	52.38651407608262
680127.5	59.97811172557506
689942.5	57.933651386976194
701346.5	59.99713823837819
712750.5	59.97043711871047
724154.5	59.99208760965541
735558.5	59.98343054296093
746962.5	59.992565242508725
758366.5	59.98528687759248
769770.5	59.983603782254356
781174.5	59.991592752953046
792578.5	59.98640586975124
803982.5	59.992998811583675
815386.5	59.85942631520683
826790.5	59.99401462336338
838194.5	59.993555855221544
849598.5	59.987345008308836
861002.5	59.98829776480172
872406.5	59.90738857275279
883810.5	59.98867857190065
895214.5	59.99409898758381
906618.5	59.47349705257631
918022.5	59.97774175693841
929426.5	59.997033999393906
940830.5	59.98181784811908
952234.5	59.98464415083522
963638.5	59.98666140968094
975042.5	59.99381391868296
984411.0	59.86834597935694
990113.0	59.62681789236356
997850.5	59.991264098806056
1009254.5	59.99868097960818
1020658.5	59.99426387391426
1032062.5	59.992191337109176
1043466.5	59.98646379515553
1054870.5	59.98633457708487
1066274.5	59.99678946543345
1077678.5	59.9770065954205
1089082.5	59.96355257919024
1100486.5	59.9925218511128
1111890.5	59.991771548258
1123294.5	59.98891472868217
1134698.5	59.99441183222379
1146102.5	59.97930659672379
1157506.5	59.98936914815495
1168910.5	59.99303108190466
1180314.5	59.99559596619541
1188447.0	56.44717904576982
1194149.0	59.98898483715238
1203122.5	59.99573484529237
1214526.5	59.985184287099905
1225930.5	59.96502580740304
1237334.5	59.99616539587209
1248738.5	59.994761015794
1260142.5	59.98128261581221
1271546.5	59.988725502560094
1282950.5	59.992170263300366
1294354.5	59.98823067364585
1305758.5	59.99539443133313
1317162.5	59.962368369598614
1328566.5	59.98116323382633
1339970.5	59.98600334137739
1350288.5	59.944296746423596
1355990.5	60.0
1362778.5	59.995958984906686
1374182.5	59.99313602183628
1385586.5	59.99100508408291
1396990.5	59.98918038057124
1408394.5	59.99180419643057
1419798.5	59.99661348405714
1431202.5	59.99047350135655
1442606.5	59.995601781040754
1454010.5	59.989636856099814
1465414.5	59.99543273080725
1476818.5	59.98752827890249
1488222.5	59.98033778674061
1496458.5	60.0
1502160.5	59.69548684984836
1511030.5	59.9835616890984
1522434.5	59.98951980070441
1533838.5	59.99167645109915
1545242.5	59.99653183200194
1556646.5	59.99089152296198
1568050.5	59.99718519097697
1579454.5	59.99116321009919
1590858.5	59.98974587341171
1602262.5	59.99211888769744
1613666.5	59.98005177947194
1625070.5	59.88004603076024
1634971.0	59.89815598961891
1640673.0	59.35805499699684
1647878.5	59.990214789309725
1659282.5	59.990280519818626
1670686.5	59.988988971134695
1682090.5	59.99244394288798
1693494.5	59.99415396896204
1704898.5	59.99776663983172
1716302.5	59.987441400369875
1727706.5	59.98319234741553
1739110.5	59.99440514627955
1750514.5	59.99648726485668
1761581.0	58.80668825868289
1767283.0	59.82583054845685
1773322.5	59.99251886134534
1784726.5	59.99691457978814
1796130.5	59.99508147988001
1807534.5	59.98467565312614
1818938.5	59.989969998757346
1830342.5	59.96547062928709
1841746.5	59.99632927655104
1853150.5	59.989422864082606
1864554.5	59.988450547942755
1875958.5	59.98985190866718
1886088.5	59.83739422545393
1891790.5	59.98418590003149
1898766.5	59.98810631396314
1910170.5	59.992591793889495
1921574.5	59.95357409512535
1932978.5	59.95913895025975
