#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	1.4968043227708842E-5
20.0	0.0
21.0	0.0
22.0	2.9936086455417684E-5
23.0	1.4968043227708842E-5
24.0	2.9936086455417684E-5
25.0	2.9936086455417684E-5
26.0	1.0477630259396189E-4
27.0	3.442649942373033E-4
28.0	4.490412968312652E-4
29.0	7.184660749300244E-4
30.0	0.0014069960634046311
31.0	0.0021104940951069467
32.0	0.0032929695100959457
33.0	0.0036522025475609573
34.0	0.004280860363124729
35.0	0.0052837192593812215
36.0	0.005957281204628119
37.0	0.007124788576389408
38.0	0.00853178463979404
39.0	0.00916044245535781
40.0	0.012049274798305618
41.0	0.014563906060560702
42.0	0.016599559939529104
43.0	0.01923393554760586
44.0	0.02185334311245491
45.0	0.026822733464054244
46.0	0.0301306710173779
47.0	0.037599724588004604
48.0	0.04420063165142421
49.0	0.049738807645676474
50.0	0.060366118337349756
51.0	0.07530422547860319
52.0	0.06713167387627415
53.0	0.07822299390800641
54.0	0.07497492852759359
55.0	0.0716071188013591
56.0	0.06271610112410005
57.0	0.05276235237767366
58.0	0.041581224086575164
59.0	0.03086410513553563
60.0	0.02146417398853448
61.0	0.015087787573530511
62.0	0.009848972443832416
63.0	0.005388495561975182
64.0	0.0030534808184526033
65.0	0.0020356538789684025
66.0	9.579547665733659E-4
67.0	4.939454265143918E-4
68.0	3.143289077818856E-4
69.0	2.3948869164334147E-4
70.0	1.3471238904937957E-4
71.0	2.9936086455417684E-5
72.0	2.9936086455417684E-5
73.0	2.9936086455417684E-5
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	1.4968043227708842E-5
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.4968043227708842E-5
