#Read position (bp)	Clipping profile
0.0	14.545806701530118
1.0	2.35691458454387
2.0	2.1692814255277937
3.0	1.9889114855704049
4.0	1.8266995932597327
5.0	1.6826457485957778
6.0	1.5930660468719735
7.0	1.5083284911872943
8.0	1.417538252953709
9.0	1.3582219639744335
10.0	1.2843792368777842
11.0	1.2141681193104783
12.0	1.157272903350765
13.0	1.07737749370521
14.0	1.0325876428433083
15.0	0.9890083284911872
16.0	0.9393763315901608
17.0	0.897007553747821
18.0	0.8497966298663567
19.0	0.798954096455549
20.0	0.7432694170056169
21.0	0.6984795661437149
22.0	0.6621634708502808
23.0	0.6403738136742204
24.0	0.5980050358318807
25.0	0.5701626961069146
26.0	0.537478210342824
27.0	0.5096358706178579
28.0	0.47574084834398606
29.0	0.4491090451288011
30.0	0.9357447220608174
31.0	0.6706372264187488
32.0	1.2964846019755956
33.0	1.5204338562851056
34.0	0.9890083284911872
35.0	0.510846407127639
36.0	0.834059655239202
37.0	0.941797404609723
38.0	0.46605655626573694
39.0	0.44426689908967654
40.0	0.5411098198721673
41.0	0.4769513848537672
42.0	0.3268448576409064
43.0	0.4454774355994577
44.0	0.28205500677900447
45.0	0.7880592678675189
46.0	0.2554232035638195
47.0	0.4769513848537672
48.0	0.6440054232035638
49.0	0.2626864226225063
50.0	0.3788979275614952
51.0	0.2517915940344761
52.0	0.36921363548324615
53.0	0.7590063916327716
54.0	0.5084253341080768
55.0	0.3994770482277745
56.0	0.21789657176060429
57.0	0.21184388921169864
58.0	0.21305442572147976
59.0	0.2070017431725741
60.0	0.1041061398411776
61.0	0.31716056556265737
62.0	0.4115824133255859
63.0	0.20458067015301182
64.0	0.20337013364323067
65.0	0.30626573697462717
66.0	0.3958454386984311
67.0	0.2917392988572535
68.0	0.19247530505520047
69.0	0.09926399380205306
70.0	0.19368584156498161
71.0	0.28568661630834785
72.0	0.09926399380205306
73.0	0.09805345729227194
74.0	0.18884369552585706
75.0	0.1004745303118342
76.0	0.09805345729227194
77.0	0.09684292078249081
78.0	0.09805345729227194
79.0	0.09805345729227194
80.0	0.09563238427270968
81.0	0.09926399380205306
82.0	0.09926399380205306
83.0	0.09563238427270968
84.0	0.09563238427270968
85.0	0.1041061398411776
86.0	0.10773774937052102
87.0	0.1004745303118342
88.0	0.11015882239008329
89.0	0.11621150493898895
90.0	0.11500096842920783
91.0	0.1174220414487701
92.0	0.12589579701723805
93.0	0.12468526050745692
94.0	0.12347472399767577
95.0	0.12226418748789464
96.0	0.12468526050745692
97.0	0.13315901607592484
98.0	0.14405384466395507
99.0	0.152527600232423
100.0	0.1731067208987023
101.0	0.18884369552585706
102.0	0.17915940344760797
103.0	0.18158047646717027
104.0	0.19368584156498161
105.0	0.21184388921169864
106.0	0.22394925430951
107.0	0.2384756924268836
108.0	0.24815998450513269
109.0	0.2590548130931629
110.0	0.28205500677900447
111.0	0.29294983536703467
112.0	0.3159500290528762
113.0	0.3328975401898121
114.0	0.3534766608560914
115.0	0.36316095293434053
116.0	0.3825295370908387
117.0	0.4055297307766802
118.0	0.42247724191361613
119.0	0.44063528956033315
120.0	0.46121441022661247
121.0	0.4769513848537672
122.0	0.5144780166569823
123.0	0.5302149912841371
124.0	0.5604784040286654
125.0	0.5846891342242883
126.0	0.6234263025372846
127.0	0.6476370327329072
128.0	0.6839531280263412
129.0	0.6936374201045903
130.0	0.7226902963393376
131.0	0.7372167344567112
132.0	0.7638485376718962
133.0	0.7904803408870812
134.0	0.815901607592485
135.0	0.8449544838272323
136.0	0.8679546775130738
137.0	0.8873232616695719
138.0	0.9151656013945381
139.0	0.9502711601781909
140.0	0.9805345729227194
141.0	0.9999031570792176
142.0	1.0374297888824329
143.0	1.0652721286073987
144.0	1.1124830524888631
145.0	1.1705888049583577
146.0	1.2153786558202595
147.0	1.2468526050745692
148.0	1.2020627542126672
149.0	0.8195332171218284
